Training: 2021-04-08 19:57:51,699-Speed 1871.15 samples/sec   Loss 21.0268   Epoch: 0   Global Step: 4400   Required: 22 hours
Training: 2021-04-08 19:58:05,853-Speed 1808.62 samples/sec   Loss 20.9127   Epoch: 0   Global Step: 4450   Required: 22 hours
Training: 2021-04-08 19:58:19,671-Speed 1852.81 samples/sec   Loss 20.8443   Epoch: 0   Global Step: 4500   Required: 22 hours
Training: 2021-04-08 19:58:33,642-Speed 1832.34 samples/sec   Loss 20.8411   Epoch: 0   Global Step: 4550   Required: 22 hours
Training: 2021-04-08 19:58:47,895-Speed 1796.19 samples/sec   Loss 20.4043   Epoch: 0   Global Step: 4600   Required: 22 hours
Training: 2021-04-08 19:59:01,628-Speed 1864.20 samples/sec   Loss 20.5012   Epoch: 0   Global Step: 4650   Required: 22 hours
Training: 2021-04-08 19:59:15,303-Speed 1871.97 samples/sec   Loss 20.3702   Epoch: 0   Global Step: 4700   Required: 22 hours
Training: 2021-04-08 19:59:28,984-Speed 1871.37 samples/sec   Loss 20.3665   Epoch: 0   Global Step: 4750   Required: 22 hours
Training: 2021-04-08 19:59:42,680-Speed 1869.18 samples/sec   Loss 20.2699   Epoch: 0   Global Step: 4800   Required: 22 hours
Training: 2021-04-08 19:59:56,379-Speed 1868.72 samples/sec   Loss 20.1544   Epoch: 0   Global Step: 4850   Required: 22 hours
Training: 2021-04-08 20:00:10,220-Speed 1849.64 samples/sec   Loss 20.1898   Epoch: 0   Global Step: 4900   Required: 22 hours
Training: 2021-04-08 20:00:23,908-Speed 1870.37 samples/sec   Loss 19.9702   Epoch: 0   Global Step: 4950   Required: 22 hours
Training: 2021-04-08 20:00:37,592-Speed 1870.85 samples/sec   Loss 19.9064   Epoch: 0   Global Step: 5000   Required: 22 hours
Training: 2021-04-08 20:00:51,270-Speed 1871.63 samples/sec   Loss 19.9464   Epoch: 0   Global Step: 5050   Required: 22 hours
